nom du fichier;temps_debut;temps_fin;frequence_mediane;tadarida_taxon;tadarida_probabilite;tadarida_taxon_autre;observateur_taxon;observateur_probabilite;validateur_taxon;validateur_probabilite
Car381009-2026-Pass1-Z1-2MU00693_20260728_204719_000;0.1;3.0;31.0;noise;0.29;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204719_000;0.0;4.9;18.0;Tetvir;0.95;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204728_000;0.0;2.0;29.0;Barfis;0.2;noise;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204728_000;0.0;1.2;31.0;Testes;0.12;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204728_000;0.0;1.5;14.0;Tetvir;0.51;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204735_000;0.0;4.9;31.0;noise;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204735_000;0.2;4.2;26.0;Testes;0.33;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204735_000;0.0;5.0;18.0;Tetvir;0.9;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204751_000;0.0;3.2;23.0;noise;0.18;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204751_000;0.1;4.2;32.0;Testes;0.36;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204751_000;0.0;4.3;19.0;Tetvir;0.85;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204806_000;0.1;4.6;24.0;noise;0.1;Phogri, Antsp;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204806_000;0.1;4.7;32.0;Testes;0.31;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204806_000;0.0;4.7;12.0;Tetvir;0.73;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204814_000;0.0;1.5;31.0;Testes;0.24;Antsp;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204814_000;0.0;1.6;10.0;Tetvir;0.95;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204822_000;0.0;4.9;19.0;noise;0.14;Tetvir;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204822_000;0.0;5.0;32.0;Testes;0.73;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204837_000;0.0;4.9;17.0;Phanan;0.75;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204837_000;0.0;5.0;31.0;Testes;0.29;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204837_000;1.2;5.0;10.0;Tetvir;0.88;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204853_000;0.0;4.3;30.0;noise;0.26;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204853_000;0.1;4.7;28.0;Testes;0.51;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204853_000;0.7;4.6;17.0;Tetvir;0.88;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204909_000;0.1;4.0;24.0;noise;0.37;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204909_000;0.1;4.0;28.0;Testes;0.6;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204909_000;0.0;3.9;16.0;Tetvir;0.89;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204915_000;0.3;1.3;21.0;noise;0.29;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204915_000;0.0;2.2;30.0;Testes;0.59;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204925_000;0.0;5.0;18.0;noise;0.39;Tetvir;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204925_000;0.0;4.5;33.0;Testes;0.69;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204941_000;0.1;4.8;19.0;Antsp;0.38;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204941_000;0.1;3.7;33.0;Testes;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204941_000;0.0;5.0;19.0;Tetvir;0.83;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204957_000;0.0;3.1;21.0;noise;0.18;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204957_000;0.0;4.6;34.0;Testes;0.68;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204957_000;0.0;4.6;25.0;Tetvir;0.95;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205013_000;0.0;3.7;31.0;noise;0.31;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205013_000;0.0;5.0;26.0;Tetvir;0.87;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205025_000;0.0;2.5;32.0;Leppun;0.12;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205025_000;0.0;3.0;12.0;Tetvir;0.92;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205031_000;2.0;2.6;16.0;noise;0.07;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205031_000;0.0;2.2;30.0;Testes;0.49;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205035_000;0.0;2.4;29.0;Barfis;0.51;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205035_000;0.3;3.3;14.0;Tetvir;0.6;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205045_000;0.0;4.6;27.0;noise;0.46;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205045_000;0.2;2.1;32.0;Antsp;0.58;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205051_000;1.7;2.0;27.0;noise;0.04;Pleaus, Pleaur, Phogri, Eptser;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205051_000;0.0;2.0;10.0;Tetvir;0.92;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205055_000;0.0;1.9;28.0;Leppun;0.97;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205055_000;0.6;2.1;17.0;noise;0.48;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205058_000;0.7;5.0;27.0;noise;0.12;Barfis;;;;
