# Referentiel d'activite Vigie-Chiro Point Fixe (contacts/nuit)
# Source : Bas Y, Kerbiriou C, Roemer C & Julien JF (2020) Bat reference scale of activity levels (Team-Chiro / MNHN)
# https://croemer3.wixsite.com/teamchiro/reference-scales-of-activity - libre d'usage avec citation obligatoire
# national toutes-saisons = 2020 ; saisons/regions/habitats = 2023 ; genere par build_activity_ref.py
# Classes : Faible <Q25 | Moyenne Q25-Q75 | Forte Q75-Q98 | Tres forte >=Q98
code;referentiel;saison;q25;q75;q98;nbocc;confiance
Nycnoc;habitat:Agricole-Foret;automne;1;4;275;45;Moderee
Phanan;habitat:Agricole-Foret;automne;10;244;2175;105;Bonne
Phofem;habitat:Agricole-Foret;automne;1;3;26;42;Moderee
Phogri;habitat:Agricole-Foret;automne;7;285;3280;119;Bonne
piaf;habitat:Agricole-Foret;automne;68;314;551;108;Bonne
Pipkuh;habitat:Agricole-Foret;automne;9;51;4127;109;Bonne
Pipnat;habitat:Agricole-Foret;automne;4;20;327;89;Moderee
Pippip;habitat:Agricole-Foret;automne;10;306;3312;114;Bonne
Pippyg;habitat:Agricole-Foret;automne;2;13;239;50;Moderee
Plaalb;habitat:Agricole-Foret;automne;3;18;52;23;Faible
Plaint;habitat:Agricole-Foret;automne;2;16;101;73;Moderee
Plasab;habitat:Agricole-Foret;automne;13;147;352;23;Faible
Pleaur;habitat:Agricole-Foret;automne;1;3;6;31;Faible
Pleaus;habitat:Agricole-Foret;automne;1;7;30;46;Moderee
Plemac;habitat:Agricole-Foret;automne;1;3;4;7;Faible
Ratnor;habitat:Agricole-Foret;automne;2;9;77;36;Faible
Rhasp;habitat:Agricole-Foret;automne;7;25;46;5;Faible
Rhieur;habitat:Agricole-Foret;automne;1;2;4;18;Faible
Rhifer;habitat:Agricole-Foret;automne;2;4;35;12;Faible
Rhihip;habitat:Agricole-Foret;automne;6;95;573;77;Moderee
Roeroe;habitat:Agricole-Foret;automne;1;11;502;30;Faible
Rusnit;habitat:Agricole-Foret;automne;1;137;2895;41;Moderee
Sepsep;habitat:Agricole-Foret;automne;1;2;22;13;Faible
Tadten;habitat:Agricole-Foret;automne;2;14;70;32;Faible
Testes;habitat:Agricole-Foret;automne;1;45;545;57;Moderee
Tetarg;habitat:Agricole-Foret;automne;1;2;6;14;Faible
Tetvir;habitat:Agricole-Foret;automne;22;143;1025;122;Bonne
Tyllil;habitat:Agricole-Foret;automne;1;3;8;38;Faible
Urosp;habitat:Agricole-Foret;automne;5;183;1804;35;Faible
Yerray;habitat:Agricole-Foret;automne;2;10;615;73;Moderee
Yposp;habitat:Agricole-Foret;automne;1;8;149;58;Moderee
amph;habitat:Agricole-Urbain;automne;4;43;421;11;Faible
Antsp;habitat:Agricole-Urbain;automne;5;33;231;14;Faible
Barbar;habitat:Agricole-Urbain;automne;4;71;218;97;Moderee
Barfis;habitat:Agricole-Urbain;automne;3;97;398;75;Moderee
Confus;habitat:Agricole-Urbain;automne;1;11;550;38;Faible
Cympud;habitat:Agricole-Urbain;automne;1;4;38;10;Faible
